"Source:","C:\Users\ADMIN\Desktop\322\Embedded System (EE3427)\1. Kicard\Arduino shield\Arduino shield.kicad_sch"
"Date:","1/19/2024 8:01:49 AM"
"Tool:","Eeschema 7.0.10"
"Generator:","D:\Kicard\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","21"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"A1","1","Arduino_UNO_R2","Arduino_UNO_R2","Module:Arduino_UNO_R2","Arduino UNO Microcontroller Module, release 2","",""
"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10","10","LED","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode","",""
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10","10","247","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
